asda

(h, sum) 	 ('23A9T', 634)
(h, sum) 	 ('24TK9', 1038)
(h, sum) 	 ('25K69', 1905)
(h, sum) 	 ('27QAK', 4689)
(h, sum) 	 ('29T73', 8084)
(h, sum) 	 ('2T6A9', 11816)
(h, sum) 	 ('2TA8Q', 16758)
(h, sum) 	 ('2Q4A6', 20582)
(h, sum) 	 ('2K859', 20636)
(h, sum) 	 ('2A5T9', 28136)
(h, sum) 	 ('32658', 32415)
(h, sum) 	 ('346KT', 37227)
(h, sum) 	 ('3497K', 41101)
(h, sum) 	 ('37249', 51573)
(h, sum) 	 ('3786T', 53433)
(h, sum) 	 ('37T8K', 59561)
(h, sum) 	 ('37Q8T', 64219)
(h, sum) 	 ('389A2', 65965)
(h, sum) 	 ('38A95', 69955)
(h, sum) 	 ('3Q468', 85315)
(h, sum) 	 ('3Q524', 88507)
(h, sum) 	 ('3QT79', 91125)
(h, sum) 	 ('3K5T4', 111089)
(h, sum) 	 ('3K5QA', 118721)
(h, sum) 	 ('3A9QK', 136596)
(h, sum) 	 ('3AK6Q', 152222)
(h, sum) 	 ('4285K', 157784)
(h, sum) 	 ('42TA6', 176880)
(h, sum) 	 ('46358', 203531)
(h, sum) 	 ('479AK', 208781)
(h, sum) 	 ('4T6Q7', 224157)
(h, sum) 	 ('4T7KA', 231165)
(h, sum) 	 ('4Q723', 257697)
(h, sum) 	 ('5342A', 267183)
(h, sum) 	 ('54A69', 286573)
(h, sum) 	 ('576K8', 311485)
(h, sum) 	 ('58647', 322844)
(h, sum) 	 ('58Q32', 331660)
(h, sum) 	 ('58QTA', 349327)
(h, sum) 	 ('5968T', 382047)
(h, sum) 	 ('5QKA9', 383236)
(h, sum) 	 ('5K36A', 410368)
(h, sum) 	 ('63K9T', 436297)
(h, sum) 	 ('65Q7T', 456845)
(h, sum) 	 ('68A9K', 485150)
(h, sum) 	 ('6T475', 517764)
(h, sum) 	 ('6TQ82', 535295)
(h, sum) 	 ('6K4A8', 547775)
(h, sum) 	 ('6A74K', 549000)
(h, sum) 	 ('6AK5Q', 585800)
(h, sum) 	 ('734AQ', 603140)
(h, sum) 	 ('736QA', 606156)
(h, sum) 	 ('73862', 630801)
(h, sum) 	 ('73AT9', 659529)
(h, sum) 	 ('7465Q', 708259)
(h, sum) 	 ('74TA3', 763531)
(h, sum) 	 ('74Q89', 810955)
(h, sum) 	 ('75K96', 868027)
(h, sum) 	 ('75A2Q', 912808)
(h, sum) 	 ('7685Q', 956668)
(h, sum) 	 ('79KT8', 1010287)
(h, sum) 	 ('7T345', 1052013)
(h, sum) 	 ('7Q6T2', 1109280)
(h, sum) 	 ('7QKA9', 1164640)
(h, sum) 	 ('7QAT8', 1165290)
(h, sum) 	 ('8352K', 1182714)
(h, sum) 	 ('8397A', 1217286)
(h, sum) 	 ('853Q7', 1278894)
(h, sum) 	 ('89627', 1321950)
(h, sum) 	 ('89635', 1335740)
(h, sum) 	 ('89725', 1368968)
(h, sum) 	 ('89K74', 1373504)
(h, sum) 	 ('8K3TQ', 1381461)
(h, sum) 	 ('8AK52', 1453463)
(h, sum) 	 ('9276A', 1517063)
(h, sum) 	 ('936KA', 1533251)
(h, sum) 	 ('945TA', 1604168)
(h, sum) 	 ('9473T', 1633106)
(h, sum) 	 ('9725Q', 1642744)
(h, sum) 	 ('97T48', 1654424)
(h, sum) 	 ('9876K', 1678805)
(h, sum) 	 ('9Q35K', 1760723)
(h, sum) 	 ('9QA2K', 1772011)
(h, sum) 	 ('9QA36', 1776463)
(h, sum) 	 ('T2Q95', 1824913)
(h, sum) 	 ('T4598', 1897153)
(h, sum) 	 ('T54Q7', 1900894)
(h, sum) 	 ('T694K', 1965838)
